file,protocol_id,nccp_code,title,intent,duration,cycle_interval,contexts,complete,unresolved,action
protocols/breast/00200-trastuzumab-iv-q21d.json,nccp-00200-vcurrent,00200,Trastuzumab IV q21d,Advanced disease,,q21d,1,no,duration,sidecar generated
protocols/breast/00201-trastuzumab-iv-weekly.json,nccp-00201-v6,00201,Trastuzumab IV weekly,Advanced disease,,,1,no,cycle_length_varies;duration;cycle_length,sidecar generated
protocols/breast/00202-docetaxel-100-21-day.json,nccp-00202-v7,00202,Docetaxel 100,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00203-docetaxel-75-21-day.json,nccp-00203-v7,00203,Docetaxel 75 q21d,Advanced disease,,q21d,1,no,duration,sidecar generated
protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,nccp-00204-v11,00204,Pertuzumab + trastuzumab + docetaxel,Advanced disease,,q21d,1,no,duration,sidecar generated
protocols/breast/00205-pegylated-liposomal-doxorubicin.json,nccp-00205-v8,00205,Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day,Advanced disease,,q28d,2,no,duration,sidecar generated
protocols/breast/00206-t-dm1-metastatic.json,nccp-00206-vcurrent,00206,T-DM1 metastatic,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00212-bevacizumab-q14d.json,nccp-00212-v6a,00212,Bevacizumab q14d,Advanced disease,,q14d,1,no,duration,sidecar generated
protocols/breast/00217-lapatinib-capecitabine.json,nccp-00217-vcurrent,00217,Lapatinib + capecitabine,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00228-eribulin-monotherapy.json,nccp-00228-v8,00228,Eribulin Monotherapy,,,q21d,1,no,intent;duration,sidecar generated
protocols/breast/00230-nab-paclitaxel-q21d.json,nccp-00230-v7,00230,nab-Paclitaxel q21d,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00232-vinorelbine-iv.json,nccp-00232-v5,00232,Vinorelbine IV,Advanced disease,,,2,no,cycle_length;duration,sidecar generated
protocols/breast/00250-docetaxel-cyclophosphamide.json,nccp-00250-v8,00250,TC (Docetaxel/Cyclophosphamide),Adjuvant,6 cycles,q21d,1,yes,,sidecar generated
protocols/breast/00251-carboplatin-q28d.json,nccp-00251-v6,00251,Carboplatin q28d,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00252-ac-doxorubicin-cyclophosphamide.json,nccp-00252-v7,00252,AC (Doxorubicin/Cyclophosphamide),Adjuvant,4 cycles,q21d,1,yes,,sidecar generated
protocols/breast/00253-tamoxifen.json,nccp-00253-vcurrent,00253,Tamoxifen,Adjuvant,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00254-anastrozole-monotherapy.json,nccp-00254-v5,00254,Anastrozole,Adjuvant,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00258-tch-docetaxel-carboplatin-trastuzumab.json,nccp-00258-v9,00258,TCH,Adjuvant,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00259-vinorelbine-oral.json,nccp-00259-v6,00259,Vinorelbine oral,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00260-ac-followed-by-weekly-paclitaxel.json,nccp-00260-v7,00260,AC → weekly paclitaxel,Neoadjuvant,,q7d,1,no,duration,sidecar generated
protocols/breast/00261-carboplatin-q21d.json,nccp-00261-v7,00261,Carboplatin q21d,Curative,,q21d,1,no,duration,sidecar generated
protocols/breast/00262-ec90.json,nccp-00262-vcurrent,00262,EC90,Adjuvant,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00263-ec75.json,nccp-00263-vcurrent,00263,EC75,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00265-fec100.json,nccp-00265-v6b,00265,FEC100,Neoadjuvant,,,1,no,cycle_length;duration,sidecar generated
protocols/breast/00269-fec50.json,nccp-00269-v7a,00269,FEC50,Advanced disease,,,1,no,cycle_length;duration,sidecar generated
