protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00200-vcurrent,00200,Trastuzumab Intravenous Monotherapy – 21 days,hypersensitivity_grade,Infusion/hypersensitivity reaction grade,Infusion/hypersensitivity reaction grade (Trastuzumab),Trastuzumab,protocols/breast/00200-trastuzumab-iv-q21d.json,encoded rule action component
nccp-00200-vcurrent,00200,Trastuzumab Intravenous Monotherapy – 21 days,relevant_drug_hypersensitivity,Relevant drug hypersensitivity before treatment,Relevant drug hypersensitivity before treatment (Trastuzumab),Trastuzumab,protocols/breast/00200-trastuzumab-iv-q21d.json,encoded rule action component
nccp-00201-v6,00201,Trastuzumab Intravenous Monotherapy – 7 days,hypersensitivity_grade,Infusion/hypersensitivity reaction grade,Infusion/hypersensitivity reaction grade (Trastuzumab),Trastuzumab,protocols/breast/00201-trastuzumab-iv-weekly.json,encoded rule action component
nccp-00201-v6,00201,Trastuzumab Intravenous Monotherapy – 7 days,relevant_drug_hypersensitivity,Relevant drug hypersensitivity before treatment,Relevant drug hypersensitivity before treatment (Trastuzumab),Trastuzumab,protocols/breast/00201-trastuzumab-iv-weekly.json,encoded rule action component
nccp-00204-v11,00204,"Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Docetaxel),Docetaxel,protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,encoded rule action component
nccp-00204-v11,00204,"Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",skin_reaction_grade,Skin reaction grade,Skin reaction grade (Docetaxel),Docetaxel,protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,encoded rule action component
nccp-00204-v11,00204,"Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",stomatitis_grade,Stomatitis grade,Stomatitis grade (Docetaxel),Docetaxel,protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,encoded rule action component
nccp-00206-vcurrent,00206,Trastuzumab Emtansine (T-DM1) Therapy – 21 days,hypersensitivity,Hypersensitivity to trastuzumab emtansine/excipients,Hypersensitivity to trastuzumab emtansine/excipients,Trastuzumab Emtansine,protocols/breast/00206-t-dm1-metastatic.json,encoded rule action component
nccp-00206-vcurrent,00206,Trastuzumab Emtansine (T-DM1) Therapy – 21 days,peripheral_neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Trastuzumab Emtansine),Trastuzumab Emtansine,protocols/breast/00206-t-dm1-metastatic.json,encoded rule action component
nccp-00206-vcurrent,00206,Trastuzumab Emtansine (T-DM1) Therapy – 21 days,pulmonary_toxicity,Interstitial lung disease / pneumonitis,Interstitial lung disease / pneumonitis (Trastuzumab Emtansine),Trastuzumab Emtansine,protocols/breast/00206-t-dm1-metastatic.json,encoded rule action component
