code,title,tumour_group,protocol_id,path,nccp_version,published_date,review_date,last_reviewed_date,source_url,source_version_verified,partial_assessment_supported,required_inputs_count,statically_required_field_count,rule_count,input_count,consultant_reviewed,oncology_pharmacy_reviewed,clinical_use_authorised
00200,Trastuzumab Intravenous Monotherapy – 21 days,Breast,nccp-00200-vcurrent,protocols/breast/00200-trastuzumab-iv-q21d.json,8,2014-02-10,2021-07-21,2021-07-21,https://healthservice.hse.ie/documents/6330/200_Trastuzumab_21days_Ubeecpc.pdf,true,true,0,0,7,12,false,false,false
00201,Trastuzumab Intravenous Monotherapy – 7 days,Breast,nccp-00201-v6,protocols/breast/00201-trastuzumab-iv-weekly.json,6,2022-12-20,2029-04-12,,https://healthservice.hse.ie/documents/6540/201_v6_Trastuzumab_IV_7_days.pdf,false,true,0,0,7,12,false,false,false
00202,Docetaxel Monotherapy 100 mg/m² – 21 day,Breast,nccp-00202-v7,protocols/breast/00202-docetaxel-100-21-day.json,7,,,,https://healthservice.hse.ie/documents/6541/202_v7_Docetaxel_100_21_day.pdf,false,true,0,0,2,5,false,false,false
00204,"Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",Breast,nccp-00204-v11,protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json,11,2022-12-20,2029-05-27,,https://healthservice.hse.ie/documents/6545/204_v11_PertuzumabTrasDoc.pdf,false,true,0,0,14,19,false,false,false
00206,Trastuzumab Emtansine (T-DM1) Therapy – 21 days,Breast,nccp-00206-vcurrent,protocols/breast/00206-t-dm1-metastatic.json,5,2015-10-01,2021-07-28,2021-07-28,https://healthservice.hse.ie/documents/6547/206_Trastuzumab_Emtansine_21days.pdf,true,true,0,0,11,13,false,false,false
00217,Lapatinib and Capecitabine Therapy - 21 days,Breast,nccp-00217-vcurrent,protocols/breast/00217-lapatinib-capecitabine.json,7,2015-01-11,2031-04-21,,https://healthservice.hse.ie/documents/6559/217_Lapatinib_and_Capecitabine_therapy.pdf,true,true,0,0,16,16,false,false,false
00230,nab-Paclitaxel Monotherapy - 21 day,Breast,nccp-00230-v7,protocols/breast/00230-nab-paclitaxel-q21d.json,7,,,,https://healthservice.hse.ie/documents/6565/230_v7_nab-PACLitaxel.pdf,false,true,0,0,11,13,false,false,false
00250,Docetaxel / Cyclophosphamide (TC) Therapy – 21 day,Breast,nccp-00250-v8,protocols/breast/00250-docetaxel-cyclophosphamide.json,8,2015-04-29,2026-04-01,,https://healthservice.hse.ie/documents/6353/250_DOCEtaxel-cycloPHOS_TC.pdf,false,true,0,0,10,14,false,false,false
00252,Doxorubicin and Cyclophosphamide (AC 60/600) Therapy – 21 day,Breast,nccp-00252-v7,protocols/breast/00252-ac-doxorubicin-cyclophosphamide.json,7,2015-04-29,2021-05-12,,https://healthservice.hse.ie/documents/6356/252_DOXO_cycloPHOS_AC.pdf,false,true,0,0,11,16,false,false,false
00253,Tamoxifen Monotherapy,Breast,nccp-00253-vcurrent,protocols/breast/00253-tamoxifen.json,6,2014-11-01,2030-12-19,,https://healthservice.hse.ie/documents/6357/253_Tamoxifen_Monotherapy.pdf,true,true,0,0,9,9,false,false,false
00254,Anastrozole Monotherapy,Breast,nccp-00254-v5,protocols/breast/00254-anastrozole-monotherapy.json,5,,,,https://healthservice.hse.ie/documents/6358/254_v5_Anastrazole.pdf,false,true,0,0,2,8,false,false,false
00258,"Docetaxel, Carboplatin and Trastuzumab (TCH) – 21 days",Breast,nccp-00258-v9,protocols/breast/00258-tch-docetaxel-carboplatin-trastuzumab.json,9,,,,https://healthservice.hse.ie/documents/6362/258_v9_TCH.pdf,false,true,0,0,4,6,false,false,false
00260,AC 21-day followed by weekly Paclitaxel (AC-T),Breast,nccp-00260-v7,protocols/breast/00260-ac-followed-by-weekly-paclitaxel.json,7,,,,https://healthservice.hse.ie/documents/6364/260_v7_AC-T.pdf,false,true,0,0,5,6,false,false,false
00262,Epirubicin 90 and Cyclophosphamide (EC90),Breast,nccp-00262-vcurrent,protocols/breast/00262-ec90.json,8,2015-04-29,2021-05-12,2021-05-12,https://healthservice.hse.ie/documents/6367/262_EC90.pdf,true,true,0,0,2,5,false,false,false
00263,Epirubicin 75 and Cyclophosphamide (EC75),Breast,nccp-00263-vcurrent,protocols/breast/00263-ec75.json,7,2015-04-29,2021-05-12,2021-05-12,https://healthservice.hse.ie/documents/6368/263_EC75.pdf,true,true,0,0,2,5,false,false,false
00265,"5-Fluorouracil, Epirubicin 100 and Cyclophosphamide (FEC100)",Breast,nccp-00265-v6b,protocols/breast/00265-fec100.json,6b,,,,https://healthservice.hse.ie/documents/6690/265_v6b_FEC_100.pdf,false,true,0,0,4,6,false,false,false
00269,"5-Fluorouracil, Epirubicin 50 and Cyclophosphamide (FEC50)",Breast,nccp-00269-v7a,protocols/breast/00269-fec50.json,7a,,,,https://healthservice.hse.ie/documents/6693/269_v7a_FEC50.pdf,false,true,0,0,2,5,false,false,false
00272,Trastuzumab Subcutaneous 21 days – Metastatic Breast Cancer,Breast,nccp-00272-v4,protocols/breast/00272-trastuzumab-sc-q21d-metastatic.json,4,2022-12-20,2029-04-12,,https://healthservice.hse.ie/documents/6694/272_v4_Trastuzumab_SC_21days_MBC.pdf,false,true,0,0,7,12,false,false,false
00278,Dose-dense AC followed by Paclitaxel 175 mg/m² every 14 days,Breast,nccp-00278-v7,protocols/breast/00278-dose-dense-ac-paclitaxel-14-day.json,7,,,,https://healthservice.hse.ie/documents/6696/278_v7_Dose_DenseAC-T_Pacli_14_day.pdf,false,true,0,0,4,6,false,false,false
00285,Trastuzumab Subcutaneous 21 days – Early Breast Cancer,Breast,nccp-00285-v4,protocols/breast/00285-trastuzumab-sc-q21d-ebc.json,4,2022-12-20,2029-04-12,,https://healthservice.hse.ie/documents/6700/285_v4_Trastuzumab_SC_21days_EBC.pdf,false,true,0,0,7,12,false,false,false
00316,Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab,Breast,nccp-00316-v6,protocols/breast/00316-ddac-paclitaxel-14-day-trastuzumab.json,6,,,,https://healthservice.hse.ie/documents/6717/316_v6_Dose_Dense_AC-TH.pdf,false,true,0,0,4,6,false,false,false
00322,Everolimus and Exemestane Therapy,Breast,nccp-00322-v4,protocols/breast/00322-everolimus-exemestane.json,4,,,,https://healthservice.hse.ie/documents/6720/322_v4_Everolimus_and_Exemestane.pdf,false,true,0,0,2,8,false,false,false
00348,Carboplatin AUC 6 and weekly Paclitaxel followed by dose-dense AC,Breast,nccp-00348-v8a,protocols/breast/00348-carbo-auc6-paclitaxel-ddac.json,8a,2016-12-01,2030-06-13,,https://healthservice.hse.ie/documents/6812/348_Carboplatin_AUC_6_and_weekly_Paclitaxel_80mgm2.pdf,false,true,0,0,30,27,false,false,false
00350,Pertuzumab and Trastuzumab with Chemotherapy,Breast,nccp-00350-v3,protocols/breast/00350-pertuzumab-trastuzumab-chemotherapy.json,3,2019-07-24,2026-07-21,,https://healthservice.hse.ie/documents/6813/350_v3_Pertuzumab_Trastuz_Chemo.pdf,false,true,0,0,32,24,false,false,false
00361,Fulvestrant Monotherapy,Breast,nccp-00361-vcurrent,protocols/breast/00361-fulvestrant-monotherapy.json,4,2016-11-11,2031-01-20,,https://healthservice.hse.ie/documents/6816/361_Fulvestrant_Therapy.pdf,true,true,0,0,2,8,false,false,false
00371,Letrozole Monotherapy,Breast,nccp-00371-vcurrent,protocols/breast/00371-letrozole-monotherapy.json,4,2016-11-11,2031-02-23,,https://healthservice.hse.ie/documents/6817/371_Letrozole_.pdf,true,true,0,0,2,8,false,false,false
00376,Exemestane Monotherapy,Breast,nccp-00376-vcurrent,protocols/breast/00376-exemestane-monotherapy.json,4,2016-11-11,2031-01-20,,https://healthservice.hse.ie/documents/6568/376_Exemestane_therapy.pdf,true,true,0,0,2,8,false,false,false
00377,"Cyclophosphamide (oral), Methotrexate and 5-Fluorouracil (CMF)",Breast,nccp-00377-v6,protocols/breast/00377-cmf-oral.json,6,,,,https://healthservice.hse.ie/documents/6337/377_v6_CMF_oral.pdf,false,true,0,0,2,5,false,false,false
00378,"Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 28 day",Breast,nccp-00378-v6,protocols/breast/00378-cmf-iv-28-day.json,6,,,,https://healthservice.hse.ie/documents/6344/378_v6_cycloPHOSphamideIV_Methotrexate_5-FU_CMF.pdf,false,true,0,0,2,5,false,false,false
