protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00200-vcurrent,00200,8,Trastuzumab IV q21d,Breast,true,true,false,1,1,0,7,https://healthservice.hse.ie/documents/6330/200_Trastuzumab_21days_Ubeecpc.pdf,false
nccp-00201-v6,00201,6,Trastuzumab IV weekly,Breast,true,true,false,1,1,0,7,https://healthservice.hse.ie/documents/6540/201_v6_Trastuzumab_IV_7_days.pdf,false
nccp-00202-v7,00202,7,Docetaxel 100,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6541/202_v7_Docetaxel_100_21_day.pdf,false
nccp-00204-v11,00204,11,Pertuzumab + trastuzumab + docetaxel,Breast,false,false,false,0,0,0,14,https://healthservice.hse.ie/documents/6545/204_v11_PertuzumabTrasDoc.pdf,false
nccp-00206-vcurrent,00206,5,T-DM1 metastatic,Breast,false,false,false,0,0,0,10,https://healthservice.hse.ie/documents/6547/206_Trastuzumab_Emtansine_21days.pdf,false
nccp-00217-vcurrent,00217,7,Lapatinib + capecitabine,Breast,false,false,false,0,0,0,12,https://healthservice.hse.ie/documents/6559/217_Lapatinib_and_Capecitabine_therapy.pdf,false
nccp-00230-v7,00230,7,nab-Paclitaxel q21d,Breast,false,false,false,0,0,0,5,https://healthservice.hse.ie/documents/6565/230_v7_nab-PACLitaxel.pdf,false
nccp-00250-v8,00250,8,TC (Docetaxel/Cyclophosphamide),Breast,true,true,false,1,2,0,5,https://healthservice.hse.ie/documents/6353/250_DOCEtaxel-cycloPHOS_TC.pdf,false
nccp-00252-v7,00252,7,AC (Doxorubicin/Cyclophosphamide),Breast,true,true,false,1,2,0,7,https://healthservice.hse.ie/documents/6356/252_DOXO_cycloPHOS_AC.pdf,false
nccp-00253-vcurrent,00253,6,Tamoxifen,Breast,false,false,false,0,0,0,9,https://healthservice.hse.ie/documents/6357/253_Tamoxifen_Monotherapy.pdf,false
nccp-00254-v5,00254,5,Anastrozole,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6358/254_v5_Anastrazole.pdf,false
