"nccp_code","title","agents","path","total_inputs","lung_inputs","gi_inputs","liver_inputs","endocrine_inputs","renal_inputs","skin_inputs","neuro_inputs","cardiac_inputs","infusion_inputs"
"00688","Atezolizumab + nab-paclitaxel","atezolizumab","protocols/breast/00688-atezolizumab-nab-paclitaxel.json","40","1","1","2","9","1","3","3","2","2"
"00857","Pembrolizumab + Carboplatin/Paclitaxel → AC","pembrolizumab","protocols/breast/00857-pembro-carbo-paclitaxel-ac.json","33","0","0","3","7","2","3","3","0","0"
"00858","Pembrolizumab + weekly Carboplatin/Paclitaxel → AC","pembrolizumab","protocols/breast/00858-pembro-weekly-carbo-paclitaxel-ac.json","33","0","0","3","7","2","3","3","0","0"
"00860","Pembrolizumab 400 + Carbo/Paclitaxel → DDAC","pembrolizumab","protocols/breast/00860-pembro400-carbo-paclitaxel-ddac.json","33","0","0","3","7","2","3","3","0","0"
"00861","Pembrolizumab 400 + Weekly Carbo/Paclitaxel → DDAC","pembrolizumab","protocols/breast/00861-pembro400-weekly-carbo-paclitaxel-ddac.json","33","0","0","3","7","2","3","3","0","0"
"00739","Pembrolizumab, Cisplatin and 5-Fluorouracil Infusional Therapy","pembrolizumab","protocols/gastrointestinal/00739-pembrolizumab-cisplatin-and-5-fluorouracil-infusional-therapy.json","28","1","2","2","7","2","2","1","1","2"
"00816","Nivolumab 14 day, Cisplatin and 5-Fluorouracil Therapy","nivolumab","protocols/gastrointestinal/00816-nivolumab-14-day-cisplatin-and-5-fluorouracil-therapy.json","28","1","2","2","7","2","2","1","1","2"
"00831","Atezolizumab + Bevacizumab (HCC)","atezolizumab","protocols/gastrointestinal/00831-atezolizumab-bevacizumab-hcc.json","46","1","1","3","9","3","4","2","2","2"
"00832","Nivolumab 28 day, Cisplatin and 5-Fluorouracil Therapy","nivolumab","protocols/gastrointestinal/00832-nivolumab-28-day-cisplatin-and-5-fluorouracil-therapy.json","28","1","2","2","7","2","2","1","1","2"
"00839","Pembrolizumab and Modified FOLFOX-6 Therapy","pembrolizumab","protocols/gastrointestinal/00839-pembrolizumab-and-modified-folfox-6-therapy.json","28","1","2","2","7","2","2","2","1","2"
"00843","Nivolumab + XELOX","nivolumab","protocols/gastrointestinal/00843-nivolumab-xelox.json","55","1","3","4","9","2","5","4","2","2"
