path,protocol_id,title,counts,renal,hepatic,endocrine,context,toxicity,candidate_fields
"protocols/_shared/ecog-context-placeholder.json","","",0,0,0,0,0,0,0
"protocols/_shared/single-agent-ici-profile.json","","",0,0,0,0,0,0,0
"protocols/_template/protocol-template.json","nccp-00000-v1","Example regimen",2,0,0,0,0,1,3
"protocols/breast/00200-trastuzumab-iv-q21d.json","nccp-00200-vcurrent","Trastuzumab Intravenous Monotherapy – 21 days",1,0,0,0,1,1,3
"protocols/breast/00201-trastuzumab-iv-weekly.json","nccp-00201-v6","Trastuzumab Intravenous Monotherapy – 7 days",1,0,0,0,1,1,3
"protocols/breast/00202-docetaxel-100-21-day.json","nccp-00202-v7","Docetaxel Monotherapy 100 mg/m² – 21 day",3,0,0,0,0,1,4
"protocols/breast/00203-docetaxel-75-21-day.json","nccp-00203-v7","Docetaxel Monotherapy 75 mg/m² – 21 day cycle",3,0,0,0,0,4,7
"protocols/breast/00204-pertuzumab-trastuzumab-docetaxel.json","nccp-00204-v11","Pertuzumab, Trastuzumab and Docetaxel Therapy – 21 day cycle",4,0,3,0,0,4,11
"protocols/breast/00205-pegylated-liposomal-doxorubicin.json","nccp-00205-v8","Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day",4,0,1,0,1,5,11
"protocols/breast/00206-t-dm1-metastatic.json","nccp-00206-vcurrent","Trastuzumab Emtansine (T-DM1) Therapy – 21 days",2,0,2,0,0,4,8
"protocols/breast/00212-bevacizumab-q14d.json","nccp-00212-v6a","Bevacizumab 10 mg/kg – 14 days",1,0,0,0,1,4,6
"protocols/breast/00217-lapatinib-capecitabine.json","nccp-00217-vcurrent","Lapatinib and Capecitabine Therapy - 21 days",4,1,2,0,0,5,12
"protocols/breast/00228-eribulin-monotherapy.json","nccp-00228-v8","Eribulin Monotherapy",7,0,0,0,1,4,12
"protocols/breast/00230-nab-paclitaxel-q21d.json","nccp-00230-v7","nab-Paclitaxel Monotherapy - 21 day",3,0,0,0,0,2,5
"protocols/breast/00232-vinorelbine-iv.json","nccp-00232-v5","Intravenous Vinorelbine Monotherapy - 21 days",4,0,0,0,0,3,7
"protocols/breast/00250-docetaxel-cyclophosphamide.json","nccp-00250-v8","Docetaxel / Cyclophosphamide (TC) Therapy – 21 day",3,1,2,0,1,3,10
"protocols/breast/00251-carboplatin-q28d.json","nccp-00251-v6","Carboplatin AUC 4-6 Monotherapy - 28 day",3,2,0,0,0,0,5
"protocols/breast/00252-ac-doxorubicin-cyclophosphamide.json","nccp-00252-v7","Doxorubicin and Cyclophosphamide (AC 60/600) Therapy – 21 day",3,1,3,0,1,3,11
"protocols/breast/00253-tamoxifen.json","nccp-00253-vcurrent","Tamoxifen Monotherapy",1,0,0,0,0,1,2
"protocols/breast/00254-anastrozole-monotherapy.json","nccp-00254-v5","Anastrozole Monotherapy",3,0,2,0,0,4,9
"protocols/breast/00258-tch-docetaxel-carboplatin-trastuzumab.json","nccp-00258-v9","Docetaxel, Carboplatin and Trastuzumab (TCH) – 21 days",3,0,0,0,0,1,4
"protocols/breast/00259-vinorelbine-oral.json","nccp-00259-v6","Oral Vinorelbine Monotherapy - 7 days",5,0,3,0,1,0,9
"protocols/breast/00260-ac-followed-by-weekly-paclitaxel.json","nccp-00260-v7","AC 21-day followed by weekly Paclitaxel (AC-T)",3,0,0,0,0,1,4
"protocols/breast/00261-carboplatin-q21d.json","nccp-00261-v7","Carboplatin AUC 4-6 Monotherapy - 21 day",3,2,0,0,0,0,5
"protocols/breast/00262-ec90.json","nccp-00262-vcurrent","Epirubicin 90 and Cyclophosphamide (EC90)",3,0,0,0,0,1,4
"protocols/breast/00263-ec75.json","nccp-00263-vcurrent","Epirubicin 75 and Cyclophosphamide (EC75)",3,0,0,0,0,1,4
"protocols/breast/00265-fec100.json","nccp-00265-v6b","5-Fluorouracil, Epirubicin 100 and Cyclophosphamide (FEC100)",3,0,0,0,0,1,4
"protocols/breast/00269-fec50.json","nccp-00269-v7a","5-Fluorouracil, Epirubicin 50 and Cyclophosphamide (FEC50)",3,0,0,0,0,1,4
"protocols/breast/00272-trastuzumab-sc-q21d-metastatic.json","nccp-00272-v4","Trastuzumab Subcutaneous 21 days – Metastatic Breast Cancer",1,0,0,0,1,1,3
"protocols/breast/00278-dose-dense-ac-paclitaxel-14-day.json","nccp-00278-v7","Dose-dense AC followed by Paclitaxel 175 mg/m² every 14 days",3,0,0,0,0,1,4
"protocols/breast/00285-trastuzumab-sc-q21d-ebc.json","nccp-00285-v4","Trastuzumab Subcutaneous 21 days – Early Breast Cancer",1,0,0,0,1,1,3
"protocols/breast/00316-ddac-paclitaxel-14-day-trastuzumab.json","nccp-00316-v6","Dose-dense AC followed by Paclitaxel every 14 days and Trastuzumab",3,0,0,0,0,1,4
"protocols/breast/00322-everolimus-exemestane.json","nccp-00322-v4","Everolimus and Exemestane Therapy",3,0,2,0,0,4,9
"protocols/breast/00348-carbo-auc6-paclitaxel-ddac.json","nccp-00348-v8a","Carboplatin AUC 6 and weekly Paclitaxel followed by dose-dense AC",5,2,3,0,1,5,16
"protocols/breast/00350-pertuzumab-trastuzumab-chemotherapy.json","nccp-00350-v3","Pertuzumab and Trastuzumab with Chemotherapy",3,1,3,0,1,3,11
"protocols/breast/00361-fulvestrant-monotherapy.json","nccp-00361-vcurrent","Fulvestrant Monotherapy",3,0,2,0,0,4,9
"protocols/breast/00371-letrozole-monotherapy.json","nccp-00371-vcurrent","Letrozole Monotherapy",3,0,2,0,0,4,9
"protocols/breast/00376-exemestane-monotherapy.json","nccp-00376-vcurrent","Exemestane Monotherapy",3,0,2,0,0,4,9
"protocols/breast/00377-cmf-oral.json","nccp-00377-v6","Cyclophosphamide (oral), Methotrexate and 5-Fluorouracil (CMF)",3,0,0,0,0,1,4
"protocols/breast/00378-cmf-iv-28-day.json","nccp-00378-v6","Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 28 day",3,0,0,0,0,1,4
"protocols/breast/00381-cmf-iv-21-day.json","nccp-00381-v6","Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 21 day",3,0,0,0,0,1,4
"protocols/breast/00414-palbociclib.json","nccp-00414-vcurrent","Palbociclib Therapy - 28 day",2,0,0,0,1,4,7
"protocols/breast/00423-at-doxorubicin-docetaxel.json","nccp-00423-vcurrent","Doxorubicin 50 mg/m² and Docetaxel 75 mg/m² (AT 50/75)",3,0,0,0,0,1,4
"protocols/breast/00430-gemcitabine-carboplatin.json","nccp-00430-v6","Gemcitabine and Carboplatin AUC2 - 21 day",3,1,1,0,2,2,9
"protocols/breast/00432-ac-weekly-paclitaxel-trastuzumab.json","nccp-00432-v5","AC followed by weekly Paclitaxel and weekly Trastuzumab (AC-TH)",3,0,0,0,0,1,4
"protocols/breast/00433-ddac-weekly-paclitaxel-trastuzumab.json","nccp-00433-v6","Dose-dense AC followed by weekly Paclitaxel and weekly Trastuzumab",3,0,0,0,0,1,4
"protocols/breast/00485-dose-dense-ac-weekly-paclitaxel.json","nccp-00485-v6","Dose-dense AC followed by weekly Paclitaxel",3,0,0,0,0,1,4
"protocols/breast/00507-pertuzumab-trastuzumab-paclitaxel.json","nccp-00507-v6","Pertuzumab, Trastuzumab and Weekly Paclitaxel - 21 day",6,0,2,0,4,6,18
"protocols/breast/00512-paclitaxel-trastuzumab-weekly.json","nccp-00512-v5","Paclitaxel 80 mg/m² and Trastuzumab Therapy – 7 day (12 weeks)",3,1,2,0,1,4,11
"protocols/breast/00525-ribociclib-metastatic.json","nccp-00525-vcurrent","Ribociclib Therapy (Metastatic) - 28 day",2,1,2,0,1,3,9
"protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json","nccp-00526-v5","Pertuzumab, Trastuzumab and Vinorelbine - 21 day",5,0,0,0,2,6,13
"protocols/breast/00545-zoledronic-acid-adjuvant.json","nccp-00545-v3","Zoledronic Acid Monotherapy",2,3,0,0,1,0,6
"protocols/breast/00605-talazoparib.json","nccp-00605-v2","Talazoparib Therapy",4,1,2,0,0,1,8
"protocols/breast/00619-abemaciclib-adjuvant.json","nccp-00619-vcurrent","Abemaciclib with endocrine therapy – adjuvant",3,0,2,0,0,4,9
